	user	instance	user_id
206	mrevans201	ecoevo.social	109410222476644511
207	ai	forfuture.social	109433464580345213
208	symbolicstorage	scholar.social	108203363279578159
209	jo_frankie	mstdn.social	109723269169714693
210	FrankPattyn	fediscience.org	109308281133634326
211	Bankslab	sciencemastodon.com	109540173986813649
212	martkuldkepp	mastodon.social	109257487637044310
213	KrisAnathema	fediscience.org	109314641732990973
214	BielcikMilos	mastodon.online	109299230514535996
215	melissaekline	mefi.social	109382943831111511
216	Alonafyshe	sigmoid.social	109298979011935096
217	UlliEcker	aus.social	109810707992549893
218	ferranc96	fosstodon.org	109310658398751756
219	vwang93	mstdn.science	109299394655195054
220	tedloch	mathstodon.xyz	109344504411034572
221	jashvina	ecoevo.social	109303933905945859
222	marcjekel	social.cologne	109290172200731375
223	bagrow	mastodon.cloud	109345212645128322
224	lhug	mstdn.science	109541045290687993
225	pboesu	ecoevo.social	109299021388828485
226	DvirSchirman	fediscience.org	109291346635182269
227	mikaelajorgensn	aus.social	109299080021055866
228	tristanstoeber	fediscience.org	109308957132003020
229	livmathies	snabelen.no	109290575150841853
230	bertolt	me.dm	110176618872362600
231	laurens	infosec.exchange	109291275466063425
232	DrSakiyama	mstdn.science	109435301137309168
233	andreaslachner	social.dev	
234	smaideman	mastodon.social	266675
235	steve_ramm	ecoevo.social	109318704301601779
236	mariakoroni	scicomm.xyz	110344526814026963
237	hendersonhl	econtwitter.net	109288400820728564
238	seb_o_mat	fedihum.org	109348456451344860
239	davidashbrook	genomic.social	109314199555709537
240	weelibrarian	mastodon.social	108130549990228694
241	LDavenportHuyer	mstdn.science	109367318016063023
242	drewpearce	spore.social	109805848900406751
243	dalcantonJD	mastodon.social	109237317617224754
244	riverpeek	vis.social	109301187363019563
245	loke	kolektiva.social	108198218103768567
246	michaeleichhorn	bildung.social	109263824076652066
247	FilipVanOpstal	akademienl.social	109319814647948784
248	CoralieChevallier	fediscience.org	109292719883948299
249	andrewperrault	fediscience.org	109281448854248184
250	christoforos	mastodon.social	109208892979130466
251	carles_alcaraz	ecoevo.social	109310170336035558
252	spartakan	mastodon.scot	109303378187903076
253	MatteoCarandini	mastodon.social	109253779357801336
254	fraistat	zirk.us	109303241164398045
255	ahvinson	mstdn.social	109275639684892625
256	pydemullenheim	fosstodon.org	109269738655507238
257	mjmoglie	neuromatch.social	109599445032299062
258	gaetan_burgio	mstdn.science	109294970023505806
259	amberwalraven	mastodon.education	109309624164571213
260	KeyesDiscovery	mstdn.scien	
261	klara_soukup	mas.to	109386626255217969
262	MrSpock	mastodon.uno	109377319014175883
263	thonoir	ecoevo.social	109295623450006784
264	janstrugnell	ecoevo.social	109794527916308741
265	guigau	piaille.fr	109366217811533129
266	svenkreiss	mathstodon.xyz	109376790402821562
267	ewan	fediscience.org	109247754688799564
268	jacobjkrich	mastodon.energy	109411417083672005
269	joydeepb_robots	sigmoid.social	109376630393680716
270	sheridanstewart	sigmoid.social	109785711269715390
271	tvcutsem	techhub.social	109389540712338534
272	SavaniAnbalagan	universeodon.com	109374783778710324
273	ProfFionasm	mstdn.social	109245472558858706
274	jessecohn	mas.to	109283164941243052
275	cwaldock1	ecoevo.social	109291499134181183
276	francescokar	archeo.social	
277	jonbennie	mastodon.online	109273123640942166
278	markusvoelter	mastodon.social	109250839025197818
279	a_lercher	sciencemastodon.com	109376788101733734
280	priesgo	genomic.social	109576190727568577
281	coralsncaves	fediscience.org	109257869763914027
282	themaklin	mstdn.science	109268246396510584
283	mowe	social.lol	109645324672646046
284	fmassin	mas.to	109301568145556930
285	lauramccaslin	mstdn.science	109293870746323395
286	keyboardpipette	genomic.social	109377134600502906
287	nmayhall	mastodon.social	108243856535856081
288	SScottGraham	assemblag.es	109263654857777479
289	steffilazerte	fosstodon.org	109388696436590772
290	lexolf	fediscience.org	109303388848009523
291	x7557x	mastodon.social	1099638
292	dominikstrb	neuromatch.social	109542486564557921
293	FascinatingPupa	mastodon.social	109246871949196612
294	CelineGuyon	digipres.club	109302196675994419
295	thomask	mstdn.science	109834012308102465
296	JennyMortimer	aus.social	109267395246898925
297	pirovc	genomic.social	109364105381280406
298	pierrepenet	mastodon.social	108198005243511449
299	anjawest	ecoevo.social	109290455989305895
300	amperjay	hci.social	109364903659021289
301	jhdavislab	mstdn.science	109365155100369815
302	mikeheyworth	mastodon.me.uk	109265376625034584
303	jtk	infosec.exchange	109266715277989124
304	badura	toad.social	109547625757439616
305	drkate99	mastodon.world	109363946473877909
306	Megan_A_Stewart	mastodon.world	109344284153584579
307	LachlanMcNamee	econtwitter.net	109306078467752785
308	tomoshea	zirk.us	109363021710821344
309	RVanneman	mastodon.social	109515177659759547
310	emilysreid	mastodon.online	109297872840865650
311	ebellm	astrodon.social	109312113598202385
312	W_Lucht	mstdn.social	108193236780151457
313	IMPetschko	archaeo.social	109324502874712771
314	tom	archaeo.social	109354509698133935
315	MichaelPlankNZ	mstdn.science	109295747222638878
316	kj_winkler	mastodon.online	109264031893029046
317	siby	sigmoid.social	109290808062150395
318	FMenardo	ecoevo.social	109308125461092716
319	AnalyticalEdge	fosstodon.org	109281859958966140
320	shamshaw	fosstodon.org	109523476470789510
321	steph_daumas	mastodon.top	109292636971947594
322	UriShalit	mastodon.social	109245602070913354
323	mingxunwang	mstdn.science	109299400430607132
324	haiderlab	mastodon.world	109378909442364818
325	jessejiryudavis	mas.to	109322106766771013
326	V_Apunkt	econtwitter.net	109386580243251638
327	danielcolquitt	mathstodon.xyz	109375458390650637
328	KorinnaAllhoff	ecoevo.social	109280259109594260
329	DrGlycoBen	mstdn.science	109290664909523950
330	adamsteer	mastodon.social	107383780336926066
331	profvigeant	mstdn.social	109260459166559029
332	MengfeiGao118	social.mpdl.mpg.de	109517585569139614
333	MaritaHennessy	mastodon.ie	109303049734331889
334	dresler	scholar.social	108198181315614101
335	sdbreslin	assemblag.es	109818669704765789
336	jdhamblin	mastodon.cloud	109300488839534129
337	GioFassetta	mastodon.scot	109295834384723297
338	BeaRamm	mstdn.science	109377710013869153
339	vinceknight	fosstodon.org	109308876165703540
340	mpoblet	mastodon.social	454374
341	fasbrock	home.social	
342	moneschleper	mas.to	109263656316611990
343	benknispel	norden.social	109359154901147109
344	Bradfield_Neuro	mastodon.au	109402531122328608
345	__nate__	mstdn.social	109268787797353418
346	rkadelhi	mastodon.world	109360807291317542
347	colinmurray	mastodon.ie	109298778900664420
348	axemaiden	mstdn.social	109332774048072620
349	hammar	mastodon.nu	109288347993956555
350	gschivley	mastodon.energy	109323227975290259
351	adapkepinska	genomic.social	109304883257184177
352	bengeliscious	mstdn.science	109523068864672414
353	EmmeBroad	ecoevo.social	109366859115067749
354	eckolb	dresden.network	109824864468545995
355	Poppi62	mastodon.online	109286069167762778
356	elenarivas	qoto.org	
357	leonard_s	mstdn.science	109296396254029013
358	LHoleski	ecoevo.social	109365686580245658
359	stephaniemedleyrath	mastodon.world	109348912380016996
360	danyoel	hci.social	108238486957786722
361	nawrocki	scholar.social	201881
362	krystalguo	mathstodon.xyz	109308147332252503
363	adriamaral	aoir.social	110378673403431285
364	JoshkaKaufmann	ecoevo.social	109293239505820285
365	Becctococcus	mstdn.science	109264428867178237
366	elinlb	home.social	
367	glipsnort	mstdn.science	109362440016850831
368	derele	c.im	109115248539902380
369	icastelaohuerta	sciences.social	109401476488336788
